region,semana,paso,nom_comuna,comuna,fecha_inicio,fecha_termino,var_salidas,var_salidas_cota_inferior,var_salidas_cota_superior
8,30,3.0,MULCHÉN,8305,2020-08-01,2020-08-02,1.059552524283778,0.14876629324964027,1.970338755317916
8,31,3.0,MULCHÉN,8305,2020-08-08,2020-08-09,0.9682073572873278,0.9682073572873278,0.9682073572873278
8,32,3.0,MULCHÉN,8305,2020-08-15,2020-08-16,0.9587798440061868,0.9587798440061868,0.9587798440061868
8,33,3.0,MULCHÉN,8305,2020-08-22,2020-08-23,0.9717140422871172,0.9717140422871172,0.9717140422871172
8,34,3.0,MULCHÉN,8305,2020-08-29,2020-08-30,0.9707453090471866,0.9707453090471866,0.9707453090471866
8,35,3.0,MULCHÉN,8305,2020-09-05,2020-09-05,1.0194268796195538,1.0194268796195538,1.0194268796195538
8,37,3.0,MULCHÉN,8305,2020-09-19,2020-09-20,0.9204209340458188,0.8987213115202239,0.9421205565714134
8,38,3.0,MULCHÉN,8305,2020-09-26,2020-09-27,0.9762318702252808,0.9762318702252808,0.9762318702252808
8,39,3.0,MULCHÉN,8305,2020-10-03,2020-10-04,1.0262096428698937,1.0262096428698937,1.0262096428698937
8,40,3.0,MULCHÉN,8305,2020-10-10,2020-10-11,1.0126903345073943,1.0126903345073943,1.0126903345073943
8,41,3.0,MULCHÉN,8305,2020-10-17,2020-10-18,0.9350321116744076,0.9350321116744076,0.9350321116744076
8,42,3.0,MULCHÉN,8305,2020-10-24,2020-10-25,0.9426410638540212,0.9426410638540212,0.9426410638540212
8,43,3.0,MULCHÉN,8305,2020-11-01,2020-11-01,0.9910799640939086,0.9910799640939086,0.9910799640939086
8,44,3.0,MULCHÉN,8305,2020-11-07,2020-11-08,0.9985326904935894,0.9985326904935894,0.9985326904935894
8,45,3.0,MULCHÉN,8305,2020-11-14,2020-11-15,0.9755968866855814,0.9755968866855814,0.9755968866855814
8,46,3.0,MULCHÉN,8305,2020-11-21,2020-11-22,1.0200406809632063,1.0200406809632063,1.0200406809632063
8,47,3.0,MULCHÉN,8305,2020-11-28,2020-11-29,1.0634340586800977,1.0634340586800977,1.0634340586800977
8,48,3.0,MULCHÉN,8305,2020-12-05,2020-12-06,0.918045122653525,0.918045122653525,0.918045122653525
8,49,3.0,MULCHÉN,8305,2020-12-12,2020-12-13,0.9481983708582942,0.8448700746175092,1.0515266670990793
8,50,3.0,MULCHÉN,8305,2020-12-19,2020-12-20,0.92215041064553,0.92215041064553,0.92215041064553
8,51,3.0,MULCHÉN,8305,2020-12-26,2020-12-27,0.9011994652778822,0.8491925819274261,0.9532063486283384
8,52,3.0,MULCHÉN,8305,2021-01-02,2021-01-03,0.9266584971139245,0.9035841322438806,0.949732861983968
8,53,3.0,MULCHÉN,8305,2021-01-09,2021-01-10,0.787426727238818,0.7773308979000575,0.7975225565775785
8,54,2.0,MULCHÉN,8305,2021-01-16,2021-01-17,0.7858441601918154,0.7858441601918154,0.7858441601918154
8,55,2.0,MULCHÉN,8305,2021-01-23,2021-01-24,0.7930904608214634,0.7930904608214634,0.7930904608214634
8,56,1.0,MULCHÉN,8305,2021-01-30,2021-01-31,0.9426851868464108,0.9426851868464108,0.9426851868464108
8,57,1.0,MULCHÉN,8305,2021-02-06,2021-02-07,0.8440930810482196,0.8440930810482196,0.8440930810482196
8,58,1.0,MULCHÉN,8305,2021-02-13,2021-02-14,0.8754498120550169,0.8167737771030492,0.9341258470069846
8,59,2.0,MULCHÉN,8305,2021-02-20,2021-02-21,0.9166019184627474,0.8452302835600022,0.9879735533654924
8,60,2.0,MULCHÉN,8305,2021-02-27,2021-02-28,0.9304316149562674,0.9304316149562674,0.9304316149562674
8,61,3.0,MULCHÉN,8305,2021-03-06,2021-03-07,0.8326953341914516,0.8326953341914516,0.8326953341914516
8,62,2.0,MULCHÉN,8305,2021-03-13,2021-03-14,0.8256408320071406,0.8256408320071406,0.8256408320071406
8,63,2.0,MULCHÉN,8305,2021-03-20,2021-03-21,0.8257643970967075,0.8257643970967075,0.8257643970967075
8,64,1.0,MULCHÉN,8305,2021-03-27,2021-03-28,0.7132458135500132,0.7132458135500132,0.7132458135500132
8,66,1.0,MULCHÉN,8305,2021-04-10,2021-04-11,0.8487088004497885,0.8487088004497885,0.8487088004497885
