Region,Codigo region,Poblacion,fecha,numero
Aysén,11,107297,2020-04-21,4
Magallanes,12,178362,2020-04-21,41
Arica y Parinacota,15,252110,2020-04-22,0
Tarapacá,01,382773,2020-04-22,59
Antofagasta,02,691854,2020-04-22,152
Atacama,03,314709,2020-04-22,47
Coquimbo,04,836096,2020-04-22,29
Valparaíso,05,1960170,2020-04-22,384
Metropolitana,13,8125072,2020-04-22,3917
O’Higgins,06,991063,2020-04-22,0
Maule,07,1131939,2020-04-22,724
Ñuble,16,511551,2020-04-22,221
Biobío,08,1663696,2020-04-22,340
Araucanía,09,1014343,2020-04-22,176
Los Ríos,14,405835,2020-04-22,54
Los Lagos,10,891440,2020-04-22,209
Aysén,11,107297,2020-04-22,4
Magallanes,12,178362,2020-04-22,49
Arica y Parinacota,15,252110,2020-04-23,169
Tarapacá,01,382773,2020-04-23,30
Antofagasta,02,691854,2020-04-23,146
Atacama,03,314709,2020-04-23,57
Coquimbo,04,836096,2020-04-23,22
Valparaíso,05,1960170,2020-04-23,90
Metropolitana,13,8125072,2020-04-23,3712
O’Higgins,06,991063,2020-04-23,86
Maule,07,1131939,2020-04-23,663
Ñuble,16,511551,2020-04-23,189
Biobío,08,1663696,2020-04-23,468
Araucanía,09,1014343,2020-04-23,370
Los Ríos,14,405835,2020-04-23,67
Los Lagos,10,891440,2020-04-23,335
Aysén,11,107297,2020-04-23,21
Magallanes,12,178362,2020-04-23,0
Arica y Parinacota,15,252110,2020-04-24,85
Tarapacá,01,382773,2020-04-24,203
Antofagasta,02,691854,2020-04-24,166
Atacama,03,314709,2020-04-24,77
Coquimbo,04,836096,2020-04-24,44
Valparaíso,05,1960170,2020-04-24,293
Metropolitana,13,8125072,2020-04-24,4376
O’Higgins,06,991063,2020-04-24,72
Maule,07,1131939,2020-04-24,606
Ñuble,16,511551,2020-04-24,0
Biobío,08,1663696,2020-04-24,340
Araucanía,09,1014343,2020-04-24,306
Los Ríos,14,405835,2020-04-24,87
Los Lagos,10,891440,2020-04-24,324
Aysén,11,107297,2020-04-24,48
Magallanes,12,178362,2020-04-24,93
Arica y Parinacota,15,252110,2020-04-25,90
Tarapacá,01,382773,2020-04-25,118
Antofagasta,02,691854,2020-04-25,217
Atacama,03,314709,2020-04-25,46
Coquimbo,04,836096,2020-04-25,42
Valparaíso,05,1960170,2020-04-25,262
Metropolitana,13,8125072,2020-04-25,4218
O’Higgins,06,991063,2020-04-25,0
Maule,07,1131939,2020-04-25,254
Ñuble,16,511551,2020-04-25,371
Biobío,08,1663696,2020-04-25,354
Araucanía,09,1014343,2020-04-25,347
Los Ríos,14,405835,2020-04-25,77
Los Lagos,10,891440,2020-04-25,406
Aysén,11,107297,2020-04-25,30
Magallanes,12,178362,2020-04-25,113
Arica y Parinacota,15,252110,2020-04-26,73
Tarapacá,01,382773,2020-04-26,58
Antofagasta,02,691854,2020-04-26,214
Atacama,03,314709,2020-04-26,54
Coquimbo,04,836096,2020-04-26,72
Valparaíso,05,1960170,2020-04-26,201
Metropolitana,13,8125072,2020-04-26,4313
O’Higgins,06,991063,2020-04-26,195
Maule,07,1131939,2020-04-26,349
Ñuble,16,511551,2020-04-26,91
Biobío,08,1663696,2020-04-26,404
Araucanía,09,1014343,2020-04-26,273
Los Ríos,14,405835,2020-04-26,99
Los Lagos,10,891440,2020-04-26,302
Aysén,11,107297,2020-04-26,13
Magallanes,12,178362,2020-04-26,52
Arica y Parinacota,15,252110,2020-04-27,146
Tarapacá,01,382773,2020-04-27,58
Antofagasta,02,691854,2020-04-27,180
Atacama,03,314709,2020-04-27,56
Coquimbo,04,836096,2020-04-27,0
Valparaíso,05,1960170,2020-04-27,167
Metropolitana,13,8125072,2020-04-27,3289
O’Higgins,06,991063,2020-04-27,30
Maule,07,1131939,2020-04-27,535
Ñuble,16,511551,2020-04-27,90
Biobío,08,1663696,2020-04-27,174
Araucanía,09,1014343,2020-04-27,246
Los Ríos,14,405835,2020-04-27,56
Los Lagos,10,891440,2020-04-27,207
Aysén,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,26
Arica y Parinacota,15,252110,2020-04-28,80
Tarapacá,01,382773,2020-04-28,57
Antofagasta,02,691854,2020-04-28,181
Atacama,03,314709,2020-04-28,73
Coquimbo,04,836096,2020-04-28,148
Valparaíso,05,1960170,2020-04-28,184
Metropolitana,13,8125072,2020-04-28,2975
O’Higgins,06,991063,2020-04-28,95
Maule,07,1131939,2020-04-28,255
Ñuble,16,511551,2020-04-28,59
Biobío,08,1663696,2020-04-28,234
Araucanía,09,1014343,2020-04-28,218
Los Ríos,14,405835,2020-04-28,54
Los Lagos,10,891440,2020-04-28,225
Aysén,11,107297,2020-04-28,29
Magallanes,12,178362,2020-04-28,63
Arica y Parinacota,15,252110,2020-04-29,61
Tarapacá,01,382773,2020-04-29,111
Antofagasta,02,691854,2020-04-29,198
Atacama,03,314709,2020-04-29,112
Coquimbo,04,836096,2020-04-29,74
Valparaíso,05,1960170,2020-04-29,169
Metropolitana,13,8125072,2020-04-29,4349
O’Higgins,06,991063,2020-04-29,105
Maule,07,1131939,2020-04-29,58
Ñuble,16,511551,2020-04-29,104
Biobío,08,1663696,2020-04-29,230
Araucanía,09,1014343,2020-04-29,275
Los Ríos,14,405835,2020-04-29,98
Los Lagos,10,891440,2020-04-29,390
Aysén,11,107297,2020-04-29,53
Magallanes,12,178362,2020-04-29,67
Arica y Parinacota,15,252110,2020-04-30,84
Tarapacá,01,382773,2020-04-30,124
Antofagasta,02,691854,2020-04-30,259
Atacama,03,314709,2020-04-30,107
Coquimbo,04,836096,2020-04-30,78
Valparaíso,05,1960170,2020-04-30,278
Metropolitana,13,8125072,2020-04-30,5282
O’Higgins,06,991063,2020-04-30,111
Maule,07,1131939,2020-04-30,249
Ñuble,16,511551,2020-04-30,120
Biobío,08,1663696,2020-04-30,534
Araucanía,09,1014343,2020-04-30,201
Los Ríos,14,405835,2020-04-30,93
Los Lagos,10,891440,2020-04-30,276
Aysén,11,107297,2020-04-30,22
Magallanes,12,178362,2020-04-30,80
Arica y Parinacota,15,252110,2020-05-01,124
Tarapacá,01,382773,2020-05-01,8
Antofagasta,02,691854,2020-05-01,164
Atacama,03,314709,2020-05-01,114
Coquimbo,04,836096,2020-05-01,166
Valparaíso,05,1960170,2020-05-01,450
Metropolitana,13,8125072,2020-05-01,6144
O’Higgins,06,991063,2020-05-01,94
Maule,07,1131939,2020-05-01,187
Ñuble,16,511551,2020-05-01,129
Biobío,08,1663696,2020-05-01,296
Araucanía,09,1014343,2020-05-01,421
Los Ríos,14,405835,2020-05-01,122
Los Lagos,10,891440,2020-05-01,371
Aysén,11,107297,2020-05-01,0
Magallanes,12,178362,2020-05-01,126
Arica y Parinacota,15,252110,2020-05-02,87
Tarapacá,01,382773,2020-05-02,102
Antofagasta,02,691854,2020-05-02,312
Atacama,03,314709,2020-05-02,105
Coquimbo,04,836096,2020-05-02,165
Valparaíso,05,1960170,2020-05-02,327
Metropolitana,13,8125072,2020-05-02,6922
O’Higgins,06,991063,2020-05-02,181
Maule,07,1131939,2020-05-02,339
Ñuble,16,511551,2020-05-02,101
Biobío,08,1663696,2020-05-02,483
Araucanía,09,1014343,2020-05-02,194
Los Ríos,14,405835,2020-05-02,133
Los Lagos,10,891440,2020-05-02,412
Aysén,11,107297,2020-05-02,46
Magallanes,12,178362,2020-05-02,58
Arica y Parinacota,15,252110,2020-05-03,41
Tarapacá,01,382773,2020-05-03,90
Antofagasta,02,691854,2020-05-03,271
Atacama,03,314709,2020-05-03,75
Coquimbo,04,836096,2020-05-03,102
Valparaíso,05,1960170,2020-05-03,251
Metropolitana,13,8125072,2020-05-03,4570
O’Higgins,06,991063,2020-05-03,63
Maule,07,1131939,2020-05-03,302
Ñuble,16,511551,2020-05-03,97
Biobío,08,1663696,2020-05-03,251
Araucanía,09,1014343,2020-05-03,354
Los Ríos,14,405835,2020-05-03,70
Los Lagos,10,891440,2020-05-03,220
Aysén,11,107297,2020-05-03,32
Magallanes,12,178362,2020-05-03,29
Arica y Parinacota,15,252110,2020-05-04,89
Tarapacá,01,382773,2020-05-04,90
Antofagasta,02,691854,2020-05-04,231
Atacama,03,314709,2020-05-04,70
Coquimbo,04,836096,2020-05-04,191
Valparaíso,05,1960170,2020-05-04,196
Metropolitana,13,8125072,2020-05-04,5631
O’Higgins,06,991063,2020-05-04,72
Maule,07,1131939,2020-05-04,322
Ñuble,16,511551,2020-05-04,69
Biobío,08,1663696,2020-05-04,355
Araucanía,09,1014343,2020-05-04,204
Los Ríos,14,405835,2020-05-04,70
Los Lagos,10,891440,2020-05-04,262
Aysén,11,107297,2020-05-04,0
Magallanes,12,178362,2020-05-04,61
Arica y Parinacota,15,252110,2020-05-05,86
Tarapacá,01,382773,2020-05-05,123
Antofagasta,02,691854,2020-05-05,182
Atacama,03,314709,2020-05-05,111
Coquimbo,04,836096,2020-05-05,0
Valparaíso,05,1960170,2020-05-05,233
Metropolitana,13,8125072,2020-05-05,5509
O’Higgins,06,991063,2020-05-05,214
Maule,07,1131939,2020-05-05,267
Ñuble,16,511551,2020-05-05,0
Biobío,08,1663696,2020-05-05,416
Araucanía,09,1014343,2020-05-05,364
Los Ríos,14,405835,2020-05-05,90
Los Lagos,10,891440,2020-05-05,243
Aysén,11,107297,2020-05-05,44
Magallanes,12,178362,2020-05-05,82
Arica y Parinacota,15,252110,2020-05-06,77
Tarapacá,01,382773,2020-05-06,53
Antofagasta,02,691854,2020-05-06,236
Atacama,03,314709,2020-05-06,107
Coquimbo,04,836096,2020-05-06,23
Valparaíso,05,1960170,2020-05-06,268
Metropolitana,13,8125072,2020-05-06,6920
O’Higgins,06,991063,2020-05-06,174
Maule,07,1131939,2020-05-06,135
Ñuble,16,511551,2020-05-06,213
Biobío,08,1663696,2020-05-06,473
Araucanía,09,1014343,2020-05-06,436
Los Ríos,14,405835,2020-05-06,95
Los Lagos,10,891440,2020-05-06,686
Aysén,11,107297,2020-05-06,38
Magallanes,12,178362,2020-05-06,79
Arica y Parinacota,15,252110,2020-05-07,123
Tarapacá,01,382773,2020-05-07,221
Antofagasta,02,691854,2020-05-07,247
Atacama,03,314709,2020-05-07,164
Coquimbo,04,836096,2020-05-07,51
Valparaíso,05,1960170,2020-05-07,690
Metropolitana,13,8125072,2020-05-07,8382
O’Higgins,06,991063,2020-05-07,68
Maule,07,1131939,2020-05-07,93
Ñuble,16,511551,2020-05-07,171
Biobío,08,1663696,2020-05-07,736
Araucanía,09,1014343,2020-05-07,413
Los Ríos,14,405835,2020-05-07,142
Los Lagos,10,891440,2020-05-07,449
Aysén,11,107297,2020-05-07,0
Magallanes,12,178362,2020-05-07,168
Arica y Parinacota,15,252110,2020-05-08,92
Tarapacá,01,382773,2020-05-08,169
Antofagasta,02,691854,2020-05-08,291
Atacama,03,314709,2020-05-08,167
Coquimbo,04,836096,2020-05-08,59
Valparaíso,05,1960170,2020-05-08,573
Metropolitana,13,8125072,2020-05-08,7839
O’Higgins,06,991063,2020-05-08,150
Maule,07,1131939,2020-05-08,181
Ñuble,16,511551,2020-05-08,110
Biobío,08,1663696,2020-05-08,647
Araucanía,09,1014343,2020-05-08,391
Los Ríos,14,405835,2020-05-08,127
