Ventiladores,fecha,numero
ocupados,2022-02-23,2235
total,2022-02-24,2452
disponibles,2022-02-24,154
ocupados,2022-02-24,2298
total,2022-02-25,2482
disponibles,2022-02-25,186
ocupados,2022-02-25,2296
total,2022-02-26,2499
disponibles,2022-02-26,172
ocupados,2022-02-26,2327
total,2022-02-27,2512
disponibles,2022-02-27,212
ocupados,2022-02-27,2300
total,2022-02-28,2507
disponibles,2022-02-28,185
ocupados,2022-02-28,2322
total,2022-03-01,2507
disponibles,2022-03-01,161
ocupados,2022-03-01,2346
total,2022-03-02,2519
disponibles,2022-03-02,182
ocupados,2022-03-02,2337
total,2022-03-03,2533
disponibles,2022-03-03,177
ocupados,2022-03-03,2356
total,2022-03-04,2535
disponibles,2022-03-04,181
ocupados,2022-03-04,2354
total,2022-03-05,2533
disponibles,2022-03-05,209
ocupados,2022-03-05,2324
total,2022-03-06,2528
disponibles,2022-03-06,236
ocupados,2022-03-06,2292
total,2022-03-07,2524
disponibles,2022-03-07,239
ocupados,2022-03-07,2285
total,2022-03-08,2530
disponibles,2022-03-08,205
ocupados,2022-03-08,2325
total,2022-03-09,2541
disponibles,2022-03-09,240
ocupados,2022-03-09,2301
total,2022-03-10,2533
disponibles,2022-03-10,235
ocupados,2022-03-10,2298
total,2022-03-11,2528
disponibles,2022-03-11,255
ocupados,2022-03-11,2273
total,2022-03-12,2514
disponibles,2022-03-12,242
ocupados,2022-03-12,2272
total,2022-03-13,2507
disponibles,2022-03-13,245
ocupados,2022-03-13,2262
total,2022-03-14,2503
disponibles,2022-03-14,253
ocupados,2022-03-14,2250
total,2022-03-15,2503
disponibles,2022-03-15,257
ocupados,2022-03-15,2246
total,2022-03-16,2494
disponibles,2022-03-16,257
ocupados,2022-03-16,2237
total,2022-03-17,2479
disponibles,2022-03-17,265
ocupados,2022-03-17,2214
total,2022-03-18,2460
disponibles,2022-03-18,278
ocupados,2022-03-18,2182
total,2022-03-19,2446
disponibles,2022-03-19,314
ocupados,2022-03-19,2132
total,2022-03-20,2432
disponibles,2022-03-20,322
ocupados,2022-03-20,2110
total,2022-03-21,2437
disponibles,2022-03-21,326
ocupados,2022-03-21,2111
total,2022-03-22,2440
disponibles,2022-03-22,329
ocupados,2022-03-22,2111
total,2022-03-23,2437
disponibles,2022-03-23,321
ocupados,2022-03-23,2116
total,2022-03-24,2433
disponibles,2022-03-24,323
ocupados,2022-03-24,2110
total,2022-03-25,2422
disponibles,2022-03-25,342
ocupados,2022-03-25,2080
total,2022-03-26,2416
disponibles,2022-03-26,339
ocupados,2022-03-26,2077
total,2022-03-27,2411
disponibles,2022-03-27,349
ocupados,2022-03-27,2062
total,2022-03-28,2409
disponibles,2022-03-28,366
ocupados,2022-03-28,2043
total,2022-03-29,2402
disponibles,2022-03-29,338
ocupados,2022-03-29,2064
total,2022-03-30,2383
disponibles,2022-03-30,329
ocupados,2022-03-30,2054
total,2022-03-31,2362
disponibles,2022-03-31,344
ocupados,2022-03-31,2018
total,2022-04-01,2342
disponibles,2022-04-01,327
ocupados,2022-04-01,2015
total,2022-04-02,2315
disponibles,2022-04-02,301
ocupados,2022-04-02,2014
total,2022-04-03,2278
disponibles,2022-04-03,303
ocupados,2022-04-03,1975
total,2022-04-04,2275
disponibles,2022-04-04,330
ocupados,2022-04-04,1945
total,2022-04-05,2271
disponibles,2022-04-05,322
ocupados,2022-04-05,1949
total,2022-04-06,2263
disponibles,2022-04-06,325
ocupados,2022-04-06,1938
total,2022-04-07,2239
disponibles,2022-04-07,325
ocupados,2022-04-07,1914
total,2022-04-08,2224
disponibles,2022-04-08,307
ocupados,2022-04-08,1917
total,2022-04-09,2222
disponibles,2022-04-09,328
ocupados,2022-04-09,1894
total,2022-04-10,2209
disponibles,2022-04-10,345
ocupados,2022-04-10,1864
total,2022-04-11,2216
disponibles,2022-04-11,349
ocupados,2022-04-11,1867
total,2022-04-12,2209
disponibles,2022-04-12,338
ocupados,2022-04-12,1871
total,2022-04-13,2169
disponibles,2022-04-13,348
ocupados,2022-04-13,1821
total,2022-04-14,2147
disponibles,2022-04-14,337
ocupados,2022-04-14,1810
total,2022-04-15,2137
disponibles,2022-04-15,346
ocupados,2022-04-15,1791
total,2022-04-16,2132
disponibles,2022-04-16,372
ocupados,2022-04-16,1760
total,2022-04-17,2139
disponibles,2022-04-17,407
ocupados,2022-04-17,1732
total,2022-04-18,2130
disponibles,2022-04-18,390
ocupados,2022-04-18,1740
total,2022-04-19,2133
disponibles,2022-04-19,366
ocupados,2022-04-19,1767
total,2022-04-20,2134
disponibles,2022-04-20,329
ocupados,2022-04-20,1805
total,2022-04-21,2124
disponibles,2022-04-21,340
ocupados,2022-04-21,1784
total,2022-04-22,2109
disponibles,2022-04-22,332
ocupados,2022-04-22,1777
total,2022-04-23,2109
disponibles,2022-04-23,335
ocupados,2022-04-23,1774
total,2022-04-24,2109
disponibles,2022-04-24,350
ocupados,2022-04-24,1759
total,2022-04-25,2109
disponibles,2022-04-25,343
ocupados,2022-04-25,1766
total,2022-04-26,2112
disponibles,2022-04-26,321
ocupados,2022-04-26,1791
total,2022-04-27,2102
disponibles,2022-04-27,315
ocupados,2022-04-27,1787
total,2022-04-28,2096
disponibles,2022-04-28,310
ocupados,2022-04-28,1786
total,2022-04-29,2084
disponibles,2022-04-29,318
ocupados,2022-04-29,1766
total,2022-04-30,2079
disponibles,2022-04-30,320
ocupados,2022-04-30,1759
total,2022-05-01,2069
disponibles,2022-05-01,340
ocupados,2022-05-01,1729
total,2022-05-02,2072
disponibles,2022-05-02,348
ocupados,2022-05-02,1724
total,2022-05-03,2077
disponibles,2022-05-03,323
ocupados,2022-05-03,1754
total,2022-05-04,2073
disponibles,2022-05-04,303
ocupados,2022-05-04,1770
total,2022-05-05,2065
disponibles,2022-05-05,307
ocupados,2022-05-05,1758
total,2022-05-06,2053
disponibles,2022-05-06,308
ocupados,2022-05-06,1745
total,2022-05-07,2040
disponibles,2022-05-07,337
ocupados,2022-05-07,1703
total,2022-05-08,2019
disponibles,2022-05-08,337
ocupados,2022-05-08,1682
total,2022-05-09,2026
disponibles,2022-05-09,357
ocupados,2022-05-09,1669
total,2022-05-10,2028
disponibles,2022-05-10,357
ocupados,2022-05-10,1671
total,2022-05-11,2024
disponibles,2022-05-11,327
ocupados,2022-05-11,1697
total,2022-05-12,2028
disponibles,2022-05-12,333
ocupados,2022-05-12,1695
total,2022-05-13,2024
disponibles,2022-05-13,331
ocupados,2022-05-13,1693
total,2022-05-14,2019
disponibles,2022-05-14,340
ocupados,2022-05-14,1679
total,2022-05-15,2023
disponibles,2022-05-15,364
ocupados,2022-05-15,1659
total,2022-05-16,2016
disponibles,2022-05-16,353
ocupados,2022-05-16,1663
total,2022-05-17,2023
disponibles,2022-05-17,342
ocupados,2022-05-17,1681
total,2022-05-18,2018
disponibles,2022-05-18,340
ocupados,2022-05-18,1678
total,2022-05-19,2019
disponibles,2022-05-19,318
ocupados,2022-05-19,1701
total,2022-05-20,2016
disponibles,2022-05-20,295
ocupados,2022-05-20,1721
total,2022-05-21,2013
disponibles,2022-05-21,330
ocupados,2022-05-21,1683
total,2022-05-22,2006
disponibles,2022-05-22,356
ocupados,2022-05-22,1650
total,2022-05-23,2006
disponibles,2022-05-23,378
ocupados,2022-05-23,1628
total,2022-05-24,2012
disponibles,2022-05-24,343
ocupados,2022-05-24,1669
total,2022-05-25,2007
disponibles,2022-05-25,351
ocupados,2022-05-25,1656
total,2022-05-26,2005
disponibles,2022-05-26,332
ocupados,2022-05-26,1673
total,2022-05-27,2015
disponibles,2022-05-27,316
ocupados,2022-05-27,1699
total,2022-05-28,2015
disponibles,2022-05-28,313
ocupados,2022-05-28,1702
total,2022-05-29,2016
disponibles,2022-05-29,333
ocupados,2022-05-29,1683
total,2022-05-30,2023
disponibles,2022-05-30,328
ocupados,2022-05-30,1695
total,2022-05-31,2029
disponibles,2022-05-31,335
ocupados,2022-05-31,1694
total,2022-06-01,2028
disponibles,2022-06-01,304
ocupados,2022-06-01,1724
total,2022-06-02,2019
disponibles,2022-06-02,301
ocupados,2022-06-02,1718
total,2022-06-03,2020
disponibles,2022-06-03,287
ocupados,2022-06-03,1733
total,2022-06-04,2032
disponibles,2022-06-04,284
ocupados,2022-06-04,1748
total,2022-06-05,2029
disponibles,2022-06-05,307
ocupados,2022-06-05,1722
total,2022-06-06,2028
disponibles,2022-06-06,318
ocupados,2022-06-06,1710
total,2022-06-07,2034
disponibles,2022-06-07,303
ocupados,2022-06-07,1731
total,2022-06-08,2029
disponibles,2022-06-08,256
ocupados,2022-06-08,1773
total,2022-06-09,2035
disponibles,2022-06-09,246
ocupados,2022-06-09,1789
total,2022-06-10,2031
disponibles,2022-06-10,279
ocupados,2022-06-10,1752
total,2022-06-11,2030
disponibles,2022-06-11,269
ocupados,2022-06-11,1761
total,2022-06-12,2029
disponibles,2022-06-12,284
ocupados,2022-06-12,1745
total,2022-06-13,2030
disponibles,2022-06-13,263
ocupados,2022-06-13,1767
total,2022-06-14,2034
disponibles,2022-06-14,264
ocupados,2022-06-14,1770
total,2022-06-15,2032
disponibles,2022-06-15,232
ocupados,2022-06-15,1800
total,2022-06-16,2027
disponibles,2022-06-16,248
ocupados,2022-06-16,1779
total,2022-06-17,2035
disponibles,2022-06-17,263
ocupados,2022-06-17,1772
total,2022-06-18,2032
disponibles,2022-06-18,276
ocupados,2022-06-18,1756
total,2022-06-19,2011
disponibles,2022-06-19,300
ocupados,2022-06-19,1711
total,2022-06-20,2026
disponibles,2022-06-20,282
ocupados,2022-06-20,1744
total,2022-06-21,2030
disponibles,2022-06-21,279
ocupados,2022-06-21,1751
total,2022-06-22,2021
disponibles,2022-06-22,276
ocupados,2022-06-22,1745
total,2022-06-23,2029
disponibles,2022-06-23,278
ocupados,2022-06-23,1751
total,2022-06-24,2010
disponibles,2022-06-24,227
ocupados,2022-06-24,1783
total,2022-06-25,2012
disponibles,2022-06-25,262
ocupados,2022-06-25,1750
total,2022-06-26,2011
disponibles,2022-06-26,273
ocupados,2022-06-26,1738
total,2022-06-27,2015
disponibles,2022-06-27,311
ocupados,2022-06-27,1704
total,2022-06-28,2014
disponibles,2022-06-28,278
ocupados,2022-06-28,1736
total,2022-06-29,2011
disponibles,2022-06-29,266
ocupados,2022-06-29,1745
total,2022-06-30,2018
disponibles,2022-06-30,216
ocupados,2022-06-30,1802
total,2022-07-01,2020
disponibles,2022-07-01,219
ocupados,2022-07-01,1801
total,2022-07-02,2007
disponibles,2022-07-02,228
ocupados,2022-07-02,1779
total,2022-07-03,2005
disponibles,2022-07-03,249
ocupados,2022-07-03,1756
total,2022-07-04,1999
disponibles,2022-07-04,277
ocupados,2022-07-04,1722
total,2022-07-05,2010
disponibles,2022-07-05,278
ocupados,2022-07-05,1732
total,2022-07-06,2005
disponibles,2022-07-06,259
ocupados,2022-07-06,1746
total,2022-07-07,2007
disponibles,2022-07-07,251
ocupados,2022-07-07,1756
total,2022-07-08,2006
disponibles,2022-07-08,245
ocupados,2022-07-08,1761
total,2022-07-09,1997
disponibles,2022-07-09,254
ocupados,2022-07-09,1743
total,2022-07-10,2008
disponibles,2022-07-10,261
ocupados,2022-07-10,1747
total,2022-07-11,2005
disponibles,2022-07-11,257
ocupados,2022-07-11,1748
total,2022-07-12,2003
disponibles,2022-07-12,239
ocupados,2022-07-12,1764
total,2022-07-13,2009
disponibles,2022-07-13,286
ocupados,2022-07-13,1723
total,2022-07-14,2013
disponibles,2022-07-14,269
ocupados,2022-07-14,1744
total,2022-07-15,2019
disponibles,2022-07-15,261
ocupados,2022-07-15,1758
total,2022-07-16,2019
disponibles,2022-07-16,266
ocupados,2022-07-16,1753
total,2022-07-17,2016
disponibles,2022-07-17,276
ocupados,2022-07-17,1740
total,2022-07-18,2016
disponibles,2022-07-18,286
ocupados,2022-07-18,1730
total,2022-07-19,2015
disponibles,2022-07-19,276
ocupados,2022-07-19,1739
total,2022-07-20,2018
disponibles,2022-07-20,279
ocupados,2022-07-20,1739
total,2022-07-21,2016
disponibles,2022-07-21,288
ocupados,2022-07-21,1728
total,2022-07-22,2012
disponibles,2022-07-22,260
ocupados,2022-07-22,1752
total,2022-07-23,2017
disponibles,2022-07-23,269
ocupados,2022-07-23,1748
total,2022-07-24,2008
disponibles,2022-07-24,265
ocupados,2022-07-24,1743
total,2022-07-25,2011
disponibles,2022-07-25,290
ocupados,2022-07-25,1721
total,2022-07-26,2007
disponibles,2022-07-26,272
ocupados,2022-07-26,1735
total,2022-07-27,2008
disponibles,2022-07-27,274
ocupados,2022-07-27,1734
total,2022-07-28,2005
disponibles,2022-07-28,270
ocupados,2022-07-28,1735
total,2022-07-29,2009
disponibles,2022-07-29,289
ocupados,2022-07-29,1720
total,2022-07-30,2011
disponibles,2022-07-30,293
ocupados,2022-07-30,1718
total,2022-07-31,2001
disponibles,2022-07-31,278
ocupados,2022-07-31,1723
total,2022-08-01,2001
disponibles,2022-08-01,308
ocupados,2022-08-01,1693
total,2022-08-02,2006
disponibles,2022-08-02,273
ocupados,2022-08-02,1733
total,2022-08-03,1991
disponibles,2022-08-03,249
ocupados,2022-08-03,1742
total,2022-08-04,1985
disponibles,2022-08-04,234
ocupados,2022-08-04,1751
total,2022-08-05,1980
disponibles,2022-08-05,230
ocupados,2022-08-05,1750
total,2022-08-06,1978
disponibles,2022-08-06,266
ocupados,2022-08-06,1712
total,2022-08-07,1962
disponibles,2022-08-07,262
ocupados,2022-08-07,1700
total,2022-08-08,1973
disponibles,2022-08-08,288
ocupados,2022-08-08,1685
total,2022-08-09,1970
disponibles,2022-08-09,273
ocupados,2022-08-09,1697
total,2022-08-10,1967
disponibles,2022-08-10,251
ocupados,2022-08-10,1716
total,2022-08-11,1968
disponibles,2022-08-11,246
ocupados,2022-08-11,1722
total,2022-08-12,1955
disponibles,2022-08-12,253
ocupados,2022-08-12,1702
total,2022-08-13,1953
disponibles,2022-08-13,237
ocupados,2022-08-13,1716
total,2022-08-14,1959
disponibles,2022-08-14,304
ocupados,2022-08-14,1655
total,2022-08-15,1962
disponibles,2022-08-15,247
ocupados,2022-08-15,1715
total,2022-08-16,1964
disponibles,2022-08-16,281
ocupados,2022-08-16,1683
total,2022-08-17,1964
disponibles,2022-08-17,263
ocupados,2022-08-17,1701
total,2022-08-18,1964
disponibles,2022-08-18,255
ocupados,2022-08-18,1709
total,2022-08-19,1966
disponibles,2022-08-19,254
ocupados,2022-08-19,1712
total,2022-08-20,1966
disponibles,2022-08-20,246
ocupados,2022-08-20,1720
total,2022-08-21,1962
disponibles,2022-08-21,278
ocupados,2022-08-21,1684
total,2022-08-22,1965
disponibles,2022-08-22,303
ocupados,2022-08-22,1662
total,2022-08-23,1963
disponibles,2022-08-23,256
ocupados,2022-08-23,1707
total,2022-08-24,1957
disponibles,2022-08-24,263
ocupados,2022-08-24,1694
total,2022-08-25,1954
disponibles,2022-08-25,259
ocupados,2022-08-25,1695
total,2022-08-26,1953
disponibles,2022-08-26,265
ocupados,2022-08-26,1688
total,2022-08-27,1958
disponibles,2022-08-27,263
ocupados,2022-08-27,1695
total,2022-08-28,1967
disponibles,2022-08-28,308
ocupados,2022-08-28,1659
total,2022-08-29,1965
disponibles,2022-08-29,303
ocupados,2022-08-29,1662
total,2022-08-30,1965
disponibles,2022-08-30,267
ocupados,2022-08-30,1698
total,2022-08-31,1963
disponibles,2022-08-31,242
ocupados,2022-08-31,1721
total,2022-09-01,1958
disponibles,2022-09-01,262
ocupados,2022-09-01,1696
total,2022-09-02,1961
disponibles,2022-09-02,280
ocupados,2022-09-02,1681
total,2022-09-03,1947
disponibles,2022-09-03,272
ocupados,2022-09-03,1675
total,2022-09-04,1953
disponibles,2022-09-04,294
ocupados,2022-09-04,1659
total,2022-09-05,1957
disponibles,2022-09-05,320
ocupados,2022-09-05,1637
total,2022-09-06,1952
disponibles,2022-09-06,292
ocupados,2022-09-06,1660
total,2022-09-07,1953
disponibles,2022-09-07,291
ocupados,2022-09-07,1662
total,2022-09-08,1956
disponibles,2022-09-08,286
ocupados,2022-09-08,1670
total,2022-09-09,1957
disponibles,2022-09-09,301
ocupados,2022-09-09,1656
total,2022-09-10,1954
disponibles,2022-09-10,288
ocupados,2022-09-10,1666
total,2022-09-11,1952
disponibles,2022-09-11,302
ocupados,2022-09-11,1650
total,2022-09-12,1954
disponibles,2022-09-12,287
ocupados,2022-09-12,1667
total,2022-09-13,1953
disponibles,2022-09-13,274
ocupados,2022-09-13,1679
total,2022-09-14,1942
disponibles,2022-09-14,293
ocupados,2022-09-14,1649
total,2022-09-15,1939
disponibles,2022-09-15,287
ocupados,2022-09-15,1652
total,2022-09-16,1939
disponibles,2022-09-16,296
ocupados,2022-09-16,1643
total,2022-09-17,1943
disponibles,2022-09-17,315
ocupados,2022-09-17,1628
total,2022-09-18,1947
disponibles,2022-09-18,309
ocupados,2022-09-18,1638
total,2022-09-19,1948
disponibles,2022-09-19,341
ocupados,2022-09-19,1607
total,2022-09-20,1947
disponibles,2022-09-20,303
ocupados,2022-09-20,1644
total,2022-09-21,1935
disponibles,2022-09-21,275
ocupados,2022-09-21,1660
total,2022-09-22,1936
disponibles,2022-09-22,276
ocupados,2022-09-22,1660
total,2022-09-23,1947
disponibles,2022-09-23,262
ocupados,2022-09-23,1685
total,2022-09-24,1938
disponibles,2022-09-24,257
ocupados,2022-09-24,1681
total,2022-09-25,1946
disponibles,2022-09-25,289
ocupados,2022-09-25,1657
total,2022-09-26,1940
disponibles,2022-09-26,328
ocupados,2022-09-26,1612
total,2022-09-27,1951
disponibles,2022-09-27,301
ocupados,2022-09-27,1650
total,2022-09-28,1939
disponibles,2022-09-28,313
ocupados,2022-09-28,1626
total,2022-09-29,1934
disponibles,2022-09-29,274
ocupados,2022-09-29,1660
total,2022-09-30,1934
disponibles,2022-09-30,294
ocupados,2022-09-30,1640
total,2022-10-01,1925
disponibles,2022-10-01,292
ocupados,2022-10-01,1633
total,2022-10-02,1925
disponibles,2022-10-02,292
ocupados,2022-10-02,1633
total,2022-10-03,1925
disponibles,2022-10-03,292
ocupados,2022-10-03,1633
total,2022-10-04,1910
disponibles,2022-10-04,321
ocupados,2022-10-04,1589
total,2022-10-05,1899
disponibles,2022-10-05,299
ocupados,2022-10-05,1600
total,2022-10-06,1898
disponibles,2022-10-06,254
ocupados,2022-10-06,1644
total,2022-10-07,1898
disponibles,2022-10-07,279
ocupados,2022-10-07,1619
total,2022-10-08,1904
disponibles,2022-10-08,305
ocupados,2022-10-08,1599
total,2022-10-09,1904
disponibles,2022-10-09,305
ocupados,2022-10-09,1599
total,2022-10-10,1904
disponibles,2022-10-10,305
ocupados,2022-10-10,1599
total,2022-10-11,1904
disponibles,2022-10-11,305
ocupados,2022-10-11,1599
total,2022-10-12,1899
disponibles,2022-10-12,333
ocupados,2022-10-12,1566
total,2022-10-13,1882
disponibles,2022-10-13,293
ocupados,2022-10-13,1589
total,2022-10-14,1886
disponibles,2022-10-14,310
ocupados,2022-10-14,1576
total,2022-10-15,1883
disponibles,2022-10-15,294
ocupados,2022-10-15,1589
total,2022-10-16,1883
disponibles,2022-10-16,294
ocupados,2022-10-16,1589
total,2022-10-17,1883
disponibles,2022-10-17,294
ocupados,2022-10-17,1589
total,2022-10-18,1858
disponibles,2022-10-18,266
ocupados,2022-10-18,1592
total,2022-10-19,1871
disponibles,2022-10-19,267
ocupados,2022-10-19,1604
total,2022-10-20,1866
disponibles,2022-10-20,262
ocupados,2022-10-20,1604
total,2022-10-21,1867
disponibles,2022-10-21,276
ocupados,2022-10-21,1591
total,2022-10-22,1869
disponibles,2022-10-22,291
ocupados,2022-10-22,1578
total,2022-10-23,1869
disponibles,2022-10-23,291
ocupados,2022-10-23,1578
total,2022-10-24,1869
disponibles,2022-10-24,291
ocupados,2022-10-24,1578
total,2022-10-25,1872
disponibles,2022-10-25,287
ocupados,2022-10-25,1585
total,2022-10-26,1888
disponibles,2022-10-26,311
ocupados,2022-10-26,1577
total,2022-10-27,1878
disponibles,2022-10-27,283
ocupados,2022-10-27,1595
total,2022-10-28,1877
disponibles,2022-10-28,294
ocupados,2022-10-28,1583
total,2022-10-29,1876
disponibles,2022-10-29,313
ocupados,2022-10-29,1563
total,2022-10-30,1876
disponibles,2022-10-30,313
ocupados,2022-10-30,1563
total,2022-10-31,1876
disponibles,2022-10-31,313
ocupados,2022-10-31,1563
total,2022-11-01,1876
disponibles,2022-11-01,313
ocupados,2022-11-01,1563
total,2022-11-02,1876
disponibles,2022-11-02,313
ocupados,2022-11-02,1563
total,2022-11-03,1880
disponibles,2022-11-03,289
ocupados,2022-11-03,1591
total,2022-11-04,1873
disponibles,2022-11-04,289
ocupados,2022-11-04,1584
total,2022-11-05,1867
disponibles,2022-11-05,273
ocupados,2022-11-05,1594
total,2022-11-06,1867
disponibles,2022-11-06,273
ocupados,2022-11-06,1594
total,2022-11-07,1867
disponibles,2022-11-07,273
ocupados,2022-11-07,1594
total,2022-11-08,1863
disponibles,2022-11-08,279
ocupados,2022-11-08,1584
total,2022-11-09,1861
disponibles,2022-11-09,291
ocupados,2022-11-09,1570
total,2022-11-10,1872
disponibles,2022-11-10,295
ocupados,2022-11-10,1577
total,2022-11-11,1860
disponibles,2022-11-11,283
ocupados,2022-11-11,1577
total,2022-11-12,1864
disponibles,2022-11-12,277
ocupados,2022-11-12,1587
total,2022-11-13,1864
disponibles,2022-11-13,277
ocupados,2022-11-13,1587
total,2022-11-14,1864
disponibles,2022-11-14,277
ocupados,2022-11-14,1587
total,2022-11-15,1864
disponibles,2022-11-15,305
ocupados,2022-11-15,1559
total,2022-11-16,1862
disponibles,2022-11-16,290
ocupados,2022-11-16,1572
total,2022-11-17,1841
disponibles,2022-11-17,271
ocupados,2022-11-17,1570
total,2022-11-18,1837
disponibles,2022-11-18,275
ocupados,2022-11-18,1562
total,2022-11-19,1843
disponibles,2022-11-19,273
ocupados,2022-11-19,1570
total,2022-11-20,1843
disponibles,2022-11-20,273
ocupados,2022-11-20,1570
total,2022-11-21,1843
disponibles,2022-11-21,273
ocupados,2022-11-21,1570
total,2022-11-22,1829
disponibles,2022-11-22,239
ocupados,2022-11-22,1590
total,2022-11-23,1824
disponibles,2022-11-23,237
ocupados,2022-11-23,1587
total,2022-11-24,1827
disponibles,2022-11-24,229
ocupados,2022-11-24,1598
total,2022-11-25,1816
disponibles,2022-11-25,231
ocupados,2022-11-25,1585
total,2022-11-26,1814
disponibles,2022-11-26,227
ocupados,2022-11-26,1587
total,2022-11-27,1814
disponibles,2022-11-27,227
ocupados,2022-11-27,1587
total,2022-11-28,1814
disponibles,2022-11-28,227
ocupados,2022-11-28,1587
total,2022-11-29,1830
disponibles,2022-11-29,263
ocupados,2022-11-29,1567
total,2022-11-30,1822
disponibles,2022-11-30,264
ocupados,2022-11-30,1558
total,2022-12-01,1822
disponibles,2022-12-01,241
ocupados,2022-12-01,1581
total,2022-12-02,1818
disponibles,2022-12-02,232
ocupados,2022-12-02,1586
total,2022-12-03,1823
disponibles,2022-12-03,260
ocupados,2022-12-03,1563
total,2022-12-04,1823
disponibles,2022-12-04,260
ocupados,2022-12-04,1563
total,2022-12-05,1823
disponibles,2022-12-05,260
ocupados,2022-12-05,1563
total,2022-12-06,1826
disponibles,2022-12-06,274
ocupados,2022-12-06,1552
total,2022-12-07,1830
disponibles,2022-12-07,267
ocupados,2022-12-07,1563
total,2022-12-08,1829
disponibles,2022-12-08,259
ocupados,2022-12-08,1570
total,2022-12-09,1829
disponibles,2022-12-09,259
ocupados,2022-12-09,1570
total,2022-12-10,1833
disponibles,2022-12-10,261
ocupados,2022-12-10,1572
total,2022-12-11,1833
disponibles,2022-12-11,261
ocupados,2022-12-11,1572
total,2022-12-12,1833
disponibles,2022-12-12,261
ocupados,2022-12-12,1572
total,2022-12-13,1816
disponibles,2022-12-13,308
ocupados,2022-12-13,1508
