Ventiladores,fecha,numero
total,2020-07-16,3166
disponibles,2020-07-16,467
ocupados,2020-07-16,2699
total,2020-07-17,3160
disponibles,2020-07-17,490
ocupados,2020-07-17,2670
total,2020-07-18,3153
disponibles,2020-07-18,477
ocupados,2020-07-18,2676
total,2020-07-19,3142
disponibles,2020-07-19,444
ocupados,2020-07-19,2698
total,2020-07-20,3136
disponibles,2020-07-20,465
ocupados,2020-07-20,2671
total,2020-07-21,3131
disponibles,2020-07-21,459
ocupados,2020-07-21,2672
total,2020-07-22,3123
disponibles,2020-07-22,480
ocupados,2020-07-22,2643
total,2020-07-23,3107
disponibles,2020-07-23,498
ocupados,2020-07-23,2609
total,2020-07-24,3101
disponibles,2020-07-24,527
ocupados,2020-07-24,2574
total,2020-07-25,3104
disponibles,2020-07-25,504
ocupados,2020-07-25,2600
total,2020-07-26,3085
disponibles,2020-07-26,528
ocupados,2020-07-26,2557
total,2020-07-27,3079
disponibles,2020-07-27,521
ocupados,2020-07-27,2558
total,2020-07-28,3076
disponibles,2020-07-28,523
ocupados,2020-07-28,2553
total,2020-07-29,3052
disponibles,2020-07-29,512
ocupados,2020-07-29,2540
total,2020-07-30,3018
disponibles,2020-07-30,501
ocupados,2020-07-30,2517
total,2020-07-31,3004
disponibles,2020-07-31,512
ocupados,2020-07-31,2492
total,2020-08-01,3001
disponibles,2020-08-01,551
ocupados,2020-08-01,2450
total,2020-08-02,2943
disponibles,2020-08-02,562
ocupados,2020-08-02,2381
total,2020-08-03,2951
disponibles,2020-08-03,568
ocupados,2020-08-03,2383
total,2020-08-04,2949
disponibles,2020-08-04,580
ocupados,2020-08-04,2369
total,2020-08-05,2939
disponibles,2020-08-05,548
ocupados,2020-08-05,2391
total,2020-08-06,2888
disponibles,2020-08-06,521
ocupados,2020-08-06,2367
total,2020-08-07,2881
disponibles,2020-08-07,539
ocupados,2020-08-07,2342
total,2020-08-08,2877
disponibles,2020-08-08,567
ocupados,2020-08-08,2310
total,2020-08-09,2837
disponibles,2020-08-09,602
ocupados,2020-08-09,2235
total,2020-08-10,2834
disponibles,2020-08-10,601
ocupados,2020-08-10,2233
total,2020-08-11,2835
disponibles,2020-08-11,570
ocupados,2020-08-11,2265
total,2020-08-12,2782
disponibles,2020-08-12,522
ocupados,2020-08-12,2260
total,2020-08-13,2761
disponibles,2020-08-13,509
ocupados,2020-08-13,2252
total,2020-08-14,2733
disponibles,2020-08-14,522
ocupados,2020-08-14,2211
total,2020-08-15,2717
disponibles,2020-08-15,518
ocupados,2020-08-15,2199
total,2020-08-16,2717
disponibles,2020-08-16,518
ocupados,2020-08-16,2199
total,2020-08-17,2701
disponibles,2020-08-17,557
ocupados,2020-08-17,2144
total,2020-08-18,2689
disponibles,2020-08-18,549
ocupados,2020-08-18,2140
total,2020-08-19,2708
disponibles,2020-08-19,582
ocupados,2020-08-19,2126
total,2020-08-20,2707
disponibles,2020-08-20,566
ocupados,2020-08-20,2141
total,2020-08-21,2688
disponibles,2020-08-21,550
ocupados,2020-08-21,2138
total,2020-08-22,2688
disponibles,2020-08-22,550
ocupados,2020-08-22,2138
total,2020-08-23,2663
disponibles,2020-08-23,577
ocupados,2020-08-23,2086
total,2020-08-24,2658
disponibles,2020-08-24,582
ocupados,2020-08-24,2076
total,2020-08-25,2660
disponibles,2020-08-25,565
ocupados,2020-08-25,2095
total,2020-08-26,2672
disponibles,2020-08-26,551
ocupados,2020-08-26,2121
total,2020-08-27,2655
disponibles,2020-08-27,540
ocupados,2020-08-27,2115
total,2020-08-28,2648
disponibles,2020-08-28,538
ocupados,2020-08-28,2110
total,2020-08-29,2657
disponibles,2020-08-29,561
ocupados,2020-08-29,2096
total,2020-08-30,2648
disponibles,2020-08-30,535
ocupados,2020-08-30,2113
total,2020-08-31,2648
disponibles,2020-08-31,540
ocupados,2020-08-31,2108
total,2020-09-01,2644
disponibles,2020-09-01,534
ocupados,2020-09-01,2110
total,2020-09-02,2628
disponibles,2020-09-02,507
ocupados,2020-09-02,2121
total,2020-09-03,2611
disponibles,2020-09-03,485
ocupados,2020-09-03,2126
total,2020-09-04,2606
disponibles,2020-09-04,495
ocupados,2020-09-04,2111
total,2020-09-05,2598
disponibles,2020-09-05,490
ocupados,2020-09-05,2108
total,2020-09-06,2598
disponibles,2020-09-06,496
ocupados,2020-09-06,2102
total,2020-09-07,2604
disponibles,2020-09-07,526
ocupados,2020-09-07,2078
total,2020-09-08,2604
disponibles,2020-09-08,490
ocupados,2020-09-08,2114
total,2020-09-09,2605
disponibles,2020-09-09,486
ocupados,2020-09-09,2119
total,2020-09-10,2592
disponibles,2020-09-10,484
ocupados,2020-09-10,2108
total,2020-09-11,2592
disponibles,2020-09-11,459
ocupados,2020-09-11,2133
total,2020-09-12,2589
disponibles,2020-09-12,459
ocupados,2020-09-12,2130
total,2020-09-13,2586
disponibles,2020-09-13,463
ocupados,2020-09-13,2123
total,2020-09-14,2593
disponibles,2020-09-14,503
ocupados,2020-09-14,2090
total,2020-09-15,2591
disponibles,2020-09-15,451
ocupados,2020-09-15,2140
total,2020-09-16,2582
disponibles,2020-09-16,442
ocupados,2020-09-16,2140
total,2020-09-17,2583
disponibles,2020-09-17,460
ocupados,2020-09-17,2123
total,2020-09-18,2565
disponibles,2020-09-18,466
ocupados,2020-09-18,2099
total,2020-09-19,2553
disponibles,2020-09-19,461
ocupados,2020-09-19,2092
total,2020-09-20,2554
disponibles,2020-09-20,454
ocupados,2020-09-20,2100
total,2020-09-21,2556
disponibles,2020-09-21,477
ocupados,2020-09-21,2079
total,2020-09-22,2543
disponibles,2020-09-22,469
ocupados,2020-09-22,2074
total,2020-09-23,2546
disponibles,2020-09-23,470
ocupados,2020-09-23,2076
total,2020-09-24,2551
disponibles,2020-09-24,465
ocupados,2020-09-24,2086
total,2020-09-25,2551
disponibles,2020-09-25,483
ocupados,2020-09-25,2068
total,2020-09-26,2538
disponibles,2020-09-26,487
ocupados,2020-09-26,2051
total,2020-09-27,2537
disponibles,2020-09-27,486
ocupados,2020-09-27,2051
total,2020-09-28,2529
disponibles,2020-09-28,485
ocupados,2020-09-28,2044
total,2020-09-29,2527
disponibles,2020-09-29,497
ocupados,2020-09-29,2030
total,2020-09-30,2524
disponibles,2020-09-30,457
ocupados,2020-09-30,2067
total,2020-10-01,2526
disponibles,2020-10-01,495
ocupados,2020-10-01,2031
total,2020-10-02,2513
disponibles,2020-10-02,486
ocupados,2020-10-02,2027
total,2020-10-03,2508
disponibles,2020-10-03,455
ocupados,2020-10-03,2053
total,2020-10-04,2505
disponibles,2020-10-04,459
ocupados,2020-10-04,2046
total,2020-10-05,2498
disponibles,2020-10-05,471
ocupados,2020-10-05,2027
total,2020-10-06,2507
disponibles,2020-10-06,483
ocupados,2020-10-06,2024
total,2020-10-07,2472
disponibles,2020-10-07,441
ocupados,2020-10-07,2031
total,2020-10-08,2467
disponibles,2020-10-08,414
ocupados,2020-10-08,2053
total,2020-10-09,2445
disponibles,2020-10-09,423
ocupados,2020-10-09,2022
total,2020-10-10,2429
disponibles,2020-10-10,413
ocupados,2020-10-10,2016
total,2020-10-11,2370
disponibles,2020-10-11,396
ocupados,2020-10-11,1974
total,2020-10-12,2364
disponibles,2020-10-12,371
ocupados,2020-10-12,1993
total,2020-10-13,2361
disponibles,2020-10-13,380
ocupados,2020-10-13,1981
total,2020-10-14,2361
disponibles,2020-10-14,379
ocupados,2020-10-14,1982
total,2020-10-15,2371
disponibles,2020-10-15,366
ocupados,2020-10-15,2005
total,2020-10-16,2358
disponibles,2020-10-16,349
ocupados,2020-10-16,2009
total,2020-10-17,2359
disponibles,2020-10-17,386
ocupados,2020-10-17,1973
total,2020-10-18,2350
disponibles,2020-10-18,366
ocupados,2020-10-18,1984
total,2020-10-19,2349
disponibles,2020-10-19,355
ocupados,2020-10-19,1994
total,2020-10-20,2351
disponibles,2020-10-20,360
ocupados,2020-10-20,1991
total,2020-10-21,2326
disponibles,2020-10-21,396
ocupados,2020-10-21,1930
total,2020-10-22,2311
disponibles,2020-10-22,364
ocupados,2020-10-22,1947
total,2020-10-23,2307
disponibles,2020-10-23,403
ocupados,2020-10-23,1904
total,2020-10-24,2305
disponibles,2020-10-24,395
ocupados,2020-10-24,1910
total,2020-10-25,2277
disponibles,2020-10-25,378
ocupados,2020-10-25,1899
total,2020-10-26,2274
disponibles,2020-10-26,374
ocupados,2020-10-26,1900
total,2020-10-27,2290
disponibles,2020-10-27,367
ocupados,2020-10-27,1923
total,2020-10-28,2269
disponibles,2020-10-28,344
ocupados,2020-10-28,1925
total,2020-10-29,2269
disponibles,2020-10-29,371
ocupados,2020-10-29,1898
total,2020-10-30,2279
disponibles,2020-10-30,366
ocupados,2020-10-30,1913
total,2020-10-31,2266
disponibles,2020-10-31,375
ocupados,2020-10-31,1891
total,2020-11-01,2277
disponibles,2020-11-01,383
ocupados,2020-11-01,1894
total,2020-11-02,2261
disponibles,2020-11-02,391
ocupados,2020-11-02,1870
total,2020-11-03,2265
disponibles,2020-11-03,368
ocupados,2020-11-03,1897
total,2020-11-04,2266
disponibles,2020-11-04,371
ocupados,2020-11-04,1895
total,2020-11-05,2265
disponibles,2020-11-05,353
ocupados,2020-11-05,1912
total,2020-11-06,2257
disponibles,2020-11-06,318
ocupados,2020-11-06,1939
total,2020-11-07,2250
disponibles,2020-11-07,333
ocupados,2020-11-07,1917
total,2020-11-08,2245
disponibles,2020-11-08,345
ocupados,2020-11-08,1900
total,2020-11-09,2255
disponibles,2020-11-09,368
ocupados,2020-11-09,1887
total,2020-11-10,2254
disponibles,2020-11-10,357
ocupados,2020-11-10,1897
total,2020-11-11,2249
disponibles,2020-11-11,363
ocupados,2020-11-11,1886
total,2020-11-12,2245
disponibles,2020-11-12,343
ocupados,2020-11-12,1902
total,2020-11-13,2248
disponibles,2020-11-13,326
ocupados,2020-11-13,1922
total,2020-11-14,2234
disponibles,2020-11-14,325
ocupados,2020-11-14,1909
total,2020-11-15,2230
disponibles,2020-11-15,321
ocupados,2020-11-15,1909
total,2020-11-16,2229
disponibles,2020-11-16,338
ocupados,2020-11-16,1891
total,2020-11-17,2229
disponibles,2020-11-17,339
ocupados,2020-11-17,1890
total,2020-11-18,2223
disponibles,2020-11-18,329
ocupados,2020-11-18,1894
total,2020-11-19,2217
disponibles,2020-11-19,327
ocupados,2020-11-19,1890
total,2020-11-20,2200
disponibles,2020-11-20,289
ocupados,2020-11-20,1911
total,2020-11-21,2194
disponibles,2020-11-21,317
ocupados,2020-11-21,1877
total,2020-11-22,2193
disponibles,2020-11-22,321
ocupados,2020-11-22,1872
total,2020-11-23,2193
disponibles,2020-11-23,342
ocupados,2020-11-23,1851
total,2020-11-24,2198
disponibles,2020-11-24,333
ocupados,2020-11-24,1865
total,2020-11-25,2196
disponibles,2020-11-25,307
ocupados,2020-11-25,1889
total,2020-11-26,2194
disponibles,2020-11-26,297
ocupados,2020-11-26,1897
total,2020-11-27,2193
disponibles,2020-11-27,299
ocupados,2020-11-27,1894
total,2020-11-28,2197
disponibles,2020-11-28,298
ocupados,2020-11-28,1899
total,2020-11-29,2156
disponibles,2020-11-29,301
ocupados,2020-11-29,1855
total,2020-11-30,2154
disponibles,2020-11-30,301
ocupados,2020-11-30,1853
total,2020-12-01,2159
disponibles,2020-12-01,293
ocupados,2020-12-01,1866
total,2020-12-02,2153
disponibles,2020-12-02,296
ocupados,2020-12-02,1857
total,2020-12-03,2168
disponibles,2020-12-03,293
ocupados,2020-12-03,1875
total,2020-12-04,2154
disponibles,2020-12-04,276
ocupados,2020-12-04,1878
total,2020-12-05,2145
disponibles,2020-12-05,280
ocupados,2020-12-05,1865
total,2020-12-06,2141
disponibles,2020-12-06,297
ocupados,2020-12-06,1844
total,2020-12-07,2140
disponibles,2020-12-07,295
ocupados,2020-12-07,1845
total,2020-12-08,2133
disponibles,2020-12-08,274
ocupados,2020-12-08,1859
total,2020-12-09,2137
